Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,6385,6400,6300,6317.950195,5647.145508,3025
2015-01-02,6256.049805,6366.5,6256.049805,6331.5,5659.257813,6843
2015-01-05,6370,6370,6290,6334.899902,5662.294922,10690
2015-01-06,6296,6313.049805,6220,6246.799805,5583.55127,13159
2015-01-07,6265,6308.950195,6247.549805,6272.950195,5606.923828,35673
2015-01-08,6275,6345,6275,6300.450195,5631.503418,7524
2015-01-09,6370,6479.950195,6273.5,6386.350098,5708.285156,20492
2015-01-12,6420,6520,6385.5,6462.75,5776.571777,47557
2015-01-13,6470,6741,6470,6714.649902,6001.727051,55108
2015-01-14,6735,6930,6684.950195,6781.850098,6061.791992,37403
2015-01-15,6869.200195,6940,6761.049805,6809.100098,6086.149414,59753
2015-01-16,6762,7005,6740.049805,6985.200195,6243.552246,49852
2015-01-19,7005,7100,6984.549805,7073.950195,6322.87793,35414
2015-01-20,7073,7110,7000,7074.5,6323.370117,28431
2015-01-21,7087.75,7120,7038.100098,7080,6328.287109,31104
2015-01-22,7075,7170,7052,7097.049805,6343.525391,54149
2015-01-23,7148,7290,7148,7258.350098,6487.699219,45866
2015-01-27,7258.299805,7430,7255.950195,7350.049805,6569.662598,45350
2015-01-28,7345,7421,7215.049805,7304.049805,6528.54541,23762
2015-01-29,7300,7364.899902,7148,7214.450195,6448.461426,22040
2015-01-30,7220,7220,7100,7113.049805,6357.826172,30387
2015-02-02,7113.799805,7161.549805,6976.350098,7059.649902,6310.09668,24716
2015-02-03,7111,7190,6950,7078.5,6326.945801,18909
2015-02-04,7078,7139.149902,6956,6977.75,6236.891113,6588
2015-02-05,7050,7050,6810,6899.149902,6166.637695,17043
2015-02-06,6900,6970,6850,6884.549805,6153.587891,8881
2015-02-09,6890,6930,6760.049805,6835.399902,6109.654785,15551
2015-02-10,6900,7018,6767,6794.149902,6072.785645,15902
2015-02-11,6899,7000,6805,6881.049805,6150.458984,13708
2015-02-12,6885,6970,6780.299805,6824.600098,6100.002441,12887
2015-02-13,6839.899902,7097.799805,6830,7033.649902,6286.857422,28685
2015-02-16,7226,7272,7102.299805,7147.350098,6388.484863,23895
2015-02-18,7150,7225,7060.049805,7169.299805,6408.10498,32189
2015-02-19,7175,7175,7013.700195,7041.700195,6294.052246,11509
2015-02-20,7051,7237.700195,7025,7176.700195,6414.719238,134761
2015-02-23,7205.200195,7205.200195,6962.5,6999.450195,6256.288574,29209
2015-02-24,7001.899902,7079.850098,6930,7009.75,6265.494141,58297
2015-02-25,7024.200195,7075,7010,7052.5,6303.705078,42946
2015-02-26,7099.700195,7099.700195,6950,7019.399902,6274.120605,25702
