Date,Open,High,Low,Close,Adj Close,Volume
01-01-2018,7900,7901.600098,7828.600098,7863.200195,7227.840332,6606
02-01-2018,7855,7923.049805,7843,7863.549805,7228.163086,65613
03-01-2018,7900,7935,7850.149902,7860.100098,7224.991211,27948
04-01-2018,7865,7902.200195,7839,7869.25,7233.401367,27902
05-01-2018,7846.299805,7884,7841,7856.75,7221.911621,9970
08-01-2018,7830,7968.549805,7830,7941.149902,7299.491699,35919
09-01-2018,7941.149902,7968.850098,7688,7779.25,7150.673828,58444
10-01-2018,7850,7866.600098,7779.299805,7846.649902,7212.62793,22046
11-01-2018,7854.799805,7910,7808.350098,7874.299805,7238.043457,47060
12-01-2018,7878,7900.049805,7745.049805,7789.25,7159.865723,32341
15-01-2018,7815,7860,7745,7757.950195,7131.096191,26404
16-01-2018,7760,7824.950195,7722,7774.600098,7146.399902,27957
17-01-2018,7799.700195,7815,7676.600098,7761.899902,7134.725586,70240
18-01-2018,7830,7830,7686.600098,7736.200195,7111.103027,30001
19-01-2018,7800,7800,7667,7680.649902,7060.041016,19037
22-01-2018,7667.549805,7715,7640.149902,7667,7047.493652,31062
23-01-2018,7699,7699,7585,7599.700195,6985.631836,36738
24-01-2018,7630,7633.950195,7548.5,7592.899902,6979.381836,15863
25-01-2018,7553,7625.600098,7433,7490.75,6885.48584,37438
29-01-2018,7530,7586.950195,7460,7530.850098,6922.344727,46573
30-01-2018,7520,7521.25,7405.049805,7455.899902,6853.45166,28872
31-01-2018,7483.950195,7514,7416.200195,7469.149902,6865.630371,24839
01-02-2018,7499,7536.950195,7280,7310.850098,6720.121582,106395
02-02-2018,7300,7415,7125,7135.450195,6558.894043,64413
05-02-2018,7130,7199,6997.649902,7134.700195,6558.205566,55575
06-02-2018,7000,7035.100098,6985,7016.299805,6449.37207,68219
07-02-2018,7097.950195,7116,6975.799805,7007,6440.82373,40086
08-02-2018,7014,7094,6887.25,6986,6421.52002,68289
09-02-2018,6973,7033.200195,6922.200195,6969.649902,6406.490723,74532
12-02-2018,6998,7199,6994.049805,7141.899902,6564.823242,104885
14-02-2018,7200,7384.200195,7162,7264.950195,6677.929199,117449
15-02-2018,7500,7645,7427.049805,7583.200195,6970.464844,354436
16-02-2018,7650,7720,7575,7592.850098,6979.334961,76991
19-02-2018,7630,7630,7490.049805,7506.700195,6900.145508,50746
20-02-2018,7520,7605.950195,7520,7572.649902,6960.76709,49865
21-02-2018,7579,7618.600098,7570.5,7597.549805,6983.65625,73367
22-02-2018,7599,7658.899902,7479.25,7543.299805,6933.788574,94421
23-02-2018,7573,7618.950195,7526.100098,7582.799805,6970.097168,66464
26-02-2018,7615,7650,7562.149902,7625.25,7009.116699,65894
27-02-2018,7644,7794,7620,7759.950195,7132.933594,69883
28-02-2018,7759,7874,7718.950195,7761.649902,7134.495117,75576
01-03-2018,7777,7876,7777,7849.399902,7215.155762,61086
05-03-2018,7880,7880,7695.200195,7714,7090.696289,63643
06-03-2018,7763.399902,7780,7650,7688.850098,7067.578125,62306
07-03-2018,7709.899902,7798,7650.350098,7704.450195,7081.918457,61388
08-03-2018,7788,7788,7700,7710.049805,7087.064941,49994
09-03-2018,7767.5,7767.5,7642,7657.350098,7038.623047,104310
12-03-2018,7694.799805,7709,7566,7619,7003.372559,28943
13-03-2018,7619,7784,7615.700195,7700.25,7078.056641,65859
14-03-2018,7701,7715.950195,7616.75,7647.75,7029.799805,64620
15-03-2018,7729,7739,7605.200195,7719.850098,7096.072266,65489
16-03-2018,7750,7757.950195,7670.100098,7695.350098,7073.553223,176601
19-03-2018,7722.549805,7724.950195,7627.5,7663.299805,7044.09375,66918
20-03-2018,7699.899902,7875,7663.700195,7841.450195,7207.848633,135487
21-03-2018,7889,7965,7795.049805,7853.25,7218.695313,75926
22-03-2018,7848,7916,7817.350098,7840.75,7207.20459,60100
23-03-2018,7800,7836.649902,7759.600098,7793.799805,7164.047852,97274
26-03-2018,7827,7918.950195,7760,7829.049805,7196.449219,62461
27-03-2018,7899.950195,8154,7861,8112.700195,7457.181152,125000
28-03-2018,8155,8250,8121,8203.549805,7540.689941,124076
02-04-2018,8199.849609,8340,8169.950195,8308.950195,7637.574219,61024
03-04-2018,8299.900391,8379.900391,8279.950195,8343.950195,7669.745117,60612
04-04-2018,8322,8399,8312,8351.049805,7676.271484,66915
05-04-2018,8388.650391,8408,8361.049805,8384.25,7706.789063,36648
06-04-2018,8384.25,8400.549805,8315,8346.950195,7672.503418,38544
09-04-2018,8350,8398,8330.099609,8382.25,7704.949707,54041
10-04-2018,8399.75,8556.799805,8380,8499.099609,7812.359375,59706
11-04-2018,8499.599609,8506.700195,8378.200195,8476.349609,7791.446777,36711
12-04-2018,8446,8685,8383,8636.950195,7939.070313,83815
13-04-2018,8650.049805,8740,8607.049805,8687.5,7985.537109,50680
16-04-2018,8704.5,8780,8650,8749.400391,8042.433105,87657
17-04-2018,8784.5,9049,8776,9013.599609,8285.287109,117758
18-04-2018,8981.099609,9118.950195,8950.200195,8975.25,8250.03418,47494
19-04-2018,8975.849609,9198,8964,9145.549805,8406.575195,67268
20-04-2018,9175,9250,9125,9162,8421.696289,43195
23-04-2018,9161.099609,9182.150391,8880.049805,8905.349609,8185.782715,67578
24-04-2018,8919.900391,9020.849609,8808.150391,8822.049805,8109.213867,51022
25-04-2018,8820,8908.299805,8660.049805,8734.549805,8028.78418,84260
26-04-2018,8799.849609,9190,8770.099609,9042.950195,8312.268555,132498
27-04-2018,9015.200195,9129.799805,9006,9061.700195,8329.500977,38931
30-04-2018,9100,9448,9063.950195,9396.549805,8637.291992,66876
02-05-2018,9405,9497,9184.700195,9201.25,8457.774414,62931
03-05-2018,9272,9289.900391,9055.099609,9098.650391,8363.462891,46201
04-05-2018,9140.200195,9157.950195,9084.700195,9111.400391,8375.18457,33795
07-05-2018,9114.049805,9174,9015.099609,9092.700195,8357.996094,57050
08-05-2018,9175,9175,9082.099609,9117.700195,8380.973633,91703
09-05-2018,9070.200195,9169,9070.200195,9120.75,8383.77832,24599
10-05-2018,9139,9215.049805,8934.650391,8981.549805,8255.827148,44274
11-05-2018,9240,9619.700195,9150,9523,8753.526367,208693
14-05-2018,9523,9622.450195,9502,9571.400391,8798.017578,49576
15-05-2018,9600,9640,9475,9565.200195,8792.317383,88137
16-05-2018,9544.950195,9649.900391,9460.450195,9628,8890.006836,50709
17-05-2018,9645,9889.950195,9548,9705.849609,8983.348633,82957
18-05-2018,9690,9809,9635.150391,9683.5,8962.664063,85659
21-05-2018,9690,9750,9466.049805,9486.349609,8780.186523,41497
22-05-2018,9505,9650,9437.599609,9634.25,8917.078125,53911
23-05-2018,9643.650391,9719.700195,9610.200195,9641.299805,8923.604492,36962
24-05-2018,9649.900391,9711.950195,9629,9665.349609,8945.865234,29401
25-05-2018,9657.900391,9799,9634.049805,9734.799805,9010.144531,30723
28-05-2018,9715,9775,9636.049805,9659.049805,8940.032227,36871
29-05-2018,9602,9649,9480,9512.299805,8804.208008,43914
30-05-2018,9578,9605,9500,9530.049805,8820.634766,59099
31-05-2018,9559.900391,9799,9550,9654,8935.358398,149624
01-06-2018,9669,9999,9643.700195,9898.549805,9161.705078,148674
04-06-2018,10000,10000,9773.299805,9817,9086.225586,37046
05-06-2018,9819.25,9840,9490,9535.650391,8825.818359,62074
06-06-2018,9599,9797,9560.349609,9760.349609,9033.792969,38522
07-06-2018,9819.950195,9839.900391,9730.200195,9787.450195,9058.875977,45248
08-06-2018,9799.950195,9964.950195,9760.049805,9888.849609,9152.726563,58211
11-06-2018,9887.950195,10060.4502,9880,9916.75,9178.550781,43431
12-06-2018,9939,9946.5,9820,9834.25,9102.191406,27119
13-06-2018,9890,9890,9790,9837.049805,9104.78418,29531
14-06-2018,9836.049805,9859.950195,9740,9756.75,9030.460938,29254
15-06-2018,9760,9774.900391,9675,9742.5,9017.270508,76681
18-06-2018,9700,9790.599609,9572.799805,9618.549805,8902.548828,46772
19-06-2018,9998.799805,9998.799805,9500.150391,9618.349609,8902.360352,67392
20-06-2018,9665,9749.900391,9640.099609,9725.049805,9001.121094,59286
21-06-2018,9750.049805,9913.950195,9712.549805,9850.400391,9117.138672,43772
22-06-2018,9840,9912.950195,9760,9871.049805,9136.251953,36004
25-06-2018,9850.099609,9998,9841.400391,9894.900391,9158.329102,52008
26-06-2018,9929.799805,10180,9862.549805,10084.5,9333.810547,136320
27-06-2018,10109,10198,9952.799805,9999.349609,9255.000977,82424
28-06-2018,10028,10095,9724.549805,9772.5,9045.037109,72930
29-06-2018,9898,9898,9777,9810.099609,9079.837891,63369
02-07-2018,9890,9890,9730.299805,9765.150391,9038.235352,35905
03-07-2018,9823.950195,9838.900391,9727.650391,9784.650391,9056.28418,55736
04-07-2018,9806,9890,9772,9862.700195,9128.523438,25385
05-07-2018,9924.650391,9989.950195,9890.049805,9957.049805,9215.848633,16910
06-07-2018,9949.75,10059.75,9924.450195,9943.049805,9202.892578,36543
09-07-2018,9999,9999,9888.049805,9899.450195,9162.537109,14698
10-07-2018,9905,10059.9502,9905,10005.25,9260.460938,39314
11-07-2018,10021,10286.75,9954,10190.65039,9432.061523,55387
12-07-2018,10248,10250.5,10001.29981,10029.04981,9282.491211,35569
13-07-2018,10100,10220.09961,10074.9502,10142,9387.032227,37091
16-07-2018,10199.90039,10237.15039,10150,10200.7002,9441.363281,26933
17-07-2018,10202,10549,10190,10511.75,9729.257813,85919
18-07-2018,10530,10550.09961,10282.15039,10393.54981,9619.856445,74032
19-07-2018,10415.04981,10449.5,10222.09961,10289.29981,9523.368164,42226
20-07-2018,10295.15039,10419.9502,10200,10348.2002,9577.883789,43278
